endpoint_name,url_pattern
oidcUrl,https://identity.freenet-mobilfunk.de/v2/oidc/
auth0Url,https://id.freenet-mobilfunk.de/
oidcRedirectUrl,/online-service/preload/
oidcIframeRedirectUrl,/online-service/login/
Auth0RedirectUrl,/online-service/#/preload
Auth0RedirectUrlDashboard,https://www.freenet-mobilfunk.de/onlineservice/dashboard
Auth0IframeRedirectUrl,/online-service/login
apiUrl,https://api.md.de
mlpOidc,https://identity.freenet-mobilfunk.de/login
mlpAuth0,https://id.freenet-mobilfunk.de/login
auth0Logout,https://www.freenet-mobilfunk.de/onlineservice/logout
tokenExchange,https://token-exchange.freenet-mobilfunk.services/v1/
templateUrl,/partials/contractinfos.html
redirectTo,/meine-vertraege/vertragsdetails/vertragsverlaengerung
redirectTo,/meine-vertraege/vertragsdetails/vertragsverlaengerung
redirectTo,/meine-vertraege/vertragsdetails/vertragsverlaengerung
redirectTo,/meine-vertraege/vertragsdetails/vertragsverlaengerung
redirectTo,/meine-vertraege/vertragsdetails/vertragsverlaengerung
redirectTo,/meine-vertraege/vertragsdetails/vertragsverlaengerung
templateUrl,/partials/options.html
templateUrl,/partials/options.html
templateUrl,/partials/options.html
templateUrl,/partials/ewp.html
redirectUrl,https://
errorCodes,/config/error-codes.php
loginSSO,/api/ps/external/login
login,/api/ps/auth/login
loginCc,/api/ps/auth/mcis/validation
logout,/api/ps/auth/logout
contracts,/api/ps/customers/%%partyid%%/contracts
getRoleOptions,/api/ps/identifications/%%identifier%%/roles
addContract,/api/ps/identifications/%%identifier%%/options
identifyBySMS,/api/ps/identifications/%%identifier%%/sms
identifyByEmail,/api/ps/identifications/%%identifier%%/email
identifyByLetter,/api/ps/identifications/%%identifier%%/letter
newUserConfirm,/api/ps/identifications/%%identifier%%/confirmation
addProspect,/api/ps/customers
bankAccount,/api/ps/contracts/%%contract%%/bank-account
checkIban,/api/ps/validations/ibans/%%iban%%
checkTowns,/api/ps/validations/addresses/possibletownnames
checkStreets,/api/ps/validations/addresses/possiblestreetnames
getIban,/api/ps/ibans?bankCode=%%code%%&accountNumber=%%number%%
setInvoiceAddress,/api/ps/contracts/%%contract%%/invoice-address
costCheck,/api/ps/contracts/%%contract%%/usages/summary?format=short
deviceDetails,/pdb/devices?deviceIds=%%deviceId%%
getESimStatus,/api/ps2/contracts/%%contract%%/detailed-sims-orders
getESimDetails,/api/ps2/contracts/%%contract%%/esims/%%iccid%%/details
getESimQR,/api/ps2/contracts/%%contract%%/esims/%%iccid%%/activation-qr-code?size=%%size%%
requestESimTan,/api/ps2/contracts/%%contract%%/esim-orders/%%iccid%%/tan/initial
postESimTan,/api/ps2/contracts/%%contract%%/sims-orders/%%taskid%%?status=active
getESimTanTimeout,/api/ps2/contracts/%%contract%%/esim-orders/%%orderId%%/tan/sms
getESimTanStatus,/api/ps2/contracts/%%contract%%/esim-orders/%%orderId%%/tan/information
sendESimTanTimeout,/api/ps2/contracts/%%contract%%/esim-orders/%%orderId%%/tan/missing
getESimRoles,/api/ps2/contracts/%%contract%%/esim-orders/%%orderId%%/tan/information
getSimProfiles,/api/ps2/contracts/%%contract%%/sims
getSimsOrders,/api/ps2/contracts/%%contract%%/sims-orders
getSimsTask,/api/ps2/contracts/%%contract%%/sims-orders/%%taskid%%
simLock,/api/ps/contracts/%%contract%%/barring
getMultiSim,/api/ps/contracts/%%contract%%/multi-sims
targetNet,/api/ps/networks?msisdn=%%msisdn%%
billNotification,/api/ps/contracts/%%contract%%/invoice-notification
billExplanation,/api/ps/contracts/%%contract%%/invoices/%%invoice%%/details
bills,/api/ps/contracts/%%contract%%/invoices?invoiceStartDate=&invoiceEndDate=&monthsIntervall=40
downloadCollection,/api/ps/documents/zipped
contractOverview,/api/ps/contracts/%%contract%%/details
contractDetails,/api/ps/contracts/%%contractId%%/details?withoutContractSelection=true
contractSwitch,/api/ps/contracts/%%contractId%%/details
transparencyRegulation,/api/ps/contracts/%%contractId%%/tvoinformations
dsp,/api/ps/contracts/%%contract%%/codeword
invoiceAddress,/api/ps/contracts/%%contract%%/invoice-address
partnerTariffs,/api/ps/contracts/%%contract%%/partner-tariffs
partnerCard,/api/ps/contracts/%%contract%%/partnercard-order
pinpuk,/api/ps/contracts/%%contract%%/pinpuk
pinpukPrice,/api/ps/contracts/%%contract%%/pinpuk/price
costCheckOverview,/api/ps/contracts/%%contract%%/usages/summary?format=long
costCheckEVN,/api/ps/contracts/%%contract%%/usages/details
otpLogin,/api/ps2/auth/otplogin
vvlGetDetails,/api/ps/contracts/%%contract%%/prolongation/details
vvlGetReminder,/api/ps/contracts/%%contract%%/prolongation/reminder
vvlPutReminder,/api/ps/contracts/%%contract%%/prolongation/reminder
vvlInfo,/api/ps2/prolongation/info
vvlPostProlongation,/api/ps/contracts/%%contract%%/prolongation
vvlGetBonus,/api/ps/contracts/%%contract%%/prolongation/online-bonus
vvlOnlineBonus,/api/ps2/contracts/%%contract%%/online-bonus
vvlGetTariffs,/api/ps/contracts/%%contract%%/prolongation/tariffs
vvlGetTariffsSimOnly,/api/ps/contracts/%%contract%%/prolongation/tariffs?filter=SIMONLY
vvlGetTariffDetails,/api/ps/contracts/%%contract%%/prolongation/tariffdetails
vvlGetDevices,/api/ps/contracts/%%contract%%/prolongation/devices
vvlGetSummary,/api/ps/contracts/%%contract%%/prolongation/summary?prolongationRef=%%ref%%
vvlGetOptions,/api/ps/contracts/%%contract%%/prolongation/options?prolongationRef=%%ref%%
vvlDeeplink,/api/ps/contracts/%%contract%%/prolongation/devices/%%device%%/references
vvlTopSeller,/ext/shop/topseller.php
devices,/pdb/devices
vendors,/pdb/vendors
tariffs,/pdb/tariffs
setUsername,/api/ps/user/name
password,/api/ps/user/password
passwordSetEmail,/api/ps/user/password/reset/email
passwordSetSms,/api/ps/user/password/reset/sms
contactFileUpload,/api/ps2/forms/upload
customerService,/api/ps2/forms/customer-service
contact,/api/ps/callbacks/%%dptmt%%
agbVerification,/api/ps/verifications/agb
contactInfo,/ajax/contact.php
callbackService,/api/ps/forms/callback
preSearchSuggest,/ajax/search/auto_suggest.php
searchAutocomplete,/ajax/search/autocomplete.php
searchSuggest,/ajax/search/suggester.php
searchResults,/ajax/search/result.php
getOptions,/api/ps/contracts/%%contract%%/options
getOptionsSummary,/api/ps/contracts/%%contract%%/options/order-summary
getTariffs,/api/ps/contracts/%%contract%%/tariffs
getPreContractualInformation,/api/ps/contracts/%%contract%%/tariffs/%%tariffid%%/pre-contractual-information
newsletter,/ajax/newsletter.php
gameRegister,/ajax/kampagnen/game-register.php
gameResult,/ajax/kampagnen/game-result.php
emailVerification,/api/ps/verifications/emails
msisdnVerification,/api/ps/verifications/msisdns/%%msisdn%%
properties,/api/ps/contracts/%%contract%%/properties
dataTariffAdvisor,/ajax/datentarifberater.php
invoiceEmail,/api/ps/contracts/%%contract%%/invoice-notification
dTNetsByPlanGroup,/dp/plan-group/%%planGroup%%/nets
dTNets,/pdb/nets
dTPlanGroups,/dp/plan-group
dTDevices,/dp/devices
dTPlanGroupsByDevice,/dp/devices/%%device%%/plan-groups
dTDevicesByPlanGroup,/dp/plan-group/%%planGroup%%/devices
dTBundles,/dp/plan-group/5/devices/%%deviceId%%/bundles
getPrepaidCharge,/api/ps/contracts/%%contract%%/charge/%%chargingType%%
setPrepaidCharge,/api/ps/contracts/%%contract%%/charge
insurances,/api/ps/products/insurances
insuranceOrder,/api/ps/contracts/%%contract%%/insurance-order
mnpInfo,/api/ps/contracts/%%contract%%/mnp/info
chatClient,/iframes/chatclient/start.html
chatStatus,/customer/chat/status/%%type%%
chatSubjects,/customer/chat/subjects/%%type%%
chatStart,/cim/customer/chats
chatStartAuth,/api/ps/auth/chat/v2
postMessages,/cim/customer/chats/%%chatId%%
getMessages,/cim/customer/chats/%%chatId%%/messages
chatKza,/cim/customer/chats/kza
teaserTransaction,/ext/teaser/tracking.gif.php
minicart,/shop/cart/minicart/rollover
getThemes,/cim/appointments/reasons
getDates,/cim/appointments/slots/dealers/%%dealer%%
getTimes,/cim/appointments/slots/dealers/%%dealer%%/date/%%date%%?reason=%%reason%%
bookAppointment,/cim/appointments/slots/book
getPrepaidBalance,/api/ps/contracts/%%prepaidContract%%/prepaidBalance
getCustomerData,/api/ps/contracts/%%contract%%/teaser
icon,/img/00_home/map-marker.png
icon,/img/00_home/map-marker-blue.png
templateUrl,/partials/book-an-appointment/start.html
templateUrl,/partials/chatclient/chat-directive.html
chatServerBaseUrl,/cim/customer/chat
templateUrl,/partials/mymobile.html
templateUrl,/partials/helper/alternateAddress.html
templateUrl,/partials/newsletter.html
templateUrl,/partials/modal_option_not_found.html
url,/api
virtualPageURL,/online-service/#
templateUrl,/partials/faq/contact.html
templateUrl,/partials/faq/tree.html
templateUrl,/partials/faq/servicefaq.html
virtualPageURL,/aktivierung/
templateUrl,/partials/modal-voice-landingpage.html
